"Ranking" "Title" "Year" "Domestic" "Foreign" "Worldwide" "Budget" "Rating" "Best_Picture" "Genre" "All_Genres" "Director"
"109" 109 "X2: X-Men United" 2003 214.899993896484 164.699996948242 379.600006103516 110 "PG-13" "." "Act" "Act_Thr_Adv_Dra_SciF" "B. Singer"
"110" 110 "Dr. Seuss' The Lorax" 2012 214 134.800003051758 348.799987792969 70 "PG" "." "Ani" "Ani_Fam_Fan" "C. Renaud/K. Balda"
"111" 111 "Austin Powers in Goldmember" 2002 213.100006103516 74.8000030517578 287.899993896484 63 "PG-13" "." "Com" "Com" "J. Roach"
"112" 112 "Back to the Future" 1985 210.600006103516 140 350.600006103516 NA "PG" "." "Adv" "Adv_Com_SciF" "R. Zemeckis"
"113" 113 "300" 2007 210.600006103516 245.5 456.100006103516 60 "R" "." "Act" "Act_His_War" "Z. Snyder"
"114" 114 "Fast Five" 2011 209.800003051758 416.299987792969 626.099975585938 125 "PG-13" "." "Act" "Act_Cri_Dra_Thr" "J. Lin"
"115" 115 "Mission: Impossible - Ghost Protocol" 2011 209.399993896484 483.700012207031 693.099975585938 145 "PG-13" "." "Act" "Act_Adv_Thr" "B. Bird"
"116" 116 "Wedding Crashers" 2005 209.199996948242 76 285.200012207031 40 "R" "." "Com" "Com_Rom" "D. Dobkin"
"117" 117 "Sherlock Holmes" 2009 209 307.799987792969 516.799987792969 90 "PG-13" "." "Act" "Act_Adv_Cri_Dra_Mys_Thr" "G. Ritchie"
"118" 118 "Charlie and the Chocolate Factory" 2005 206.399993896484 268.600006103516 475 150 "PG" "." "Adv" "Adv_Com_Fam_Fan" "T. Burton"
"119" 119 "Ratatouille" 2007 206.399993896484 415 621.400024414062 100 "G" "." "Ani" "Ani_Com_Fam" "B. Bird"
"120" 120 "Austin Powers: The Spy Who Shagged Me" 1999 206 104.300003051758 310.299987792969 33 "PG-13" "." "Com" "Com" "M. Roach"
"121" 121 "Batman Begins" 2005 205.300003051758 166.600006103516 371.899993896484 135 "PG-13" "." "Act" "Act_Adv_Cri_Fan_Thr" "C. Nolan"
"122" 122 "Terminator 2: Judgment Day" 1991 204.800003051758 312 516.799987792969 100 "R" "." "SciF" "SciF_Act_Thr" "J. Cameron"
"123" 123 "The Exorcist" 1973 204.699996948242 152.800003051758 357.5 12 "R" "nominated" "Dra" "Dra_Hor" "W. Friedkin"
"124" 124 "The Mummy Returns" 2001 202 227.5 429.5 98 "PG-13" "." "Adv" "Adv_Act_Hor_Fan" "S. Sommers"
"125" 125 "Armageddon" 1998 201.600006103516 353 554.599975585938 140 "PG-13" "." "Act" "Act_Rom_SciF_Thr" "M. Bay"
"126" 126 "Tangled" 2010 200.800003051758 388 588.799987792969 260 "PG" "." "Ani" "Ani_Com_Fam_Fan_Mus_Rom" "N. Greno/B. Howard"
"127" 127 "Superman Returns" 2006 200.100006103516 191 391.100006103516 260 "PG-13" "." "Act" "Act_Adv_Fan_SciF" "B. Singer"
"128" 128 "Gone With the Wind" 1939 198.699996948242 191.800003051758 390.5 3 "G" "won" "Dra" "Dra_Rom" "V. Fleming"
"129" 129 "Pearl Harbor" 2001 198.5 251.899993896484 450.399993896484 153 "PG-13" "." "Dra" "Dra_Act_War_Rom" "M. Bay"
"130" 130 "Monsters Vs. Aliens" 2009 198.300003051758 183.199996948242 381.5 175 "PG" "." "Ani" "Ani_Act_SciF" "R. Letterman/C. Vernon"
"131" 131 "Happy Feet" 2006 198 186.300003051758 384.299987792969 85 "PG" "." "Ani" "Ani_Adv_Com_Fam_Mus" "G. Miller"
"132" 132 "Indiana Jones and the Last Crusade" 1989 197.199996948242 297.600006103516 494.799987792969 39 "PG-13" "." "Fan" "Fan_Act_Adv" "S. Spielberg"
"133" 133 "Ice Age: Dawn of the Dinosaurs" 2009 196.600006103516 687.900024414062 884.5 90 "PG" "." "Ani" "Ani_Act_Adv_Com_Fam_Rom" "C. Saldanha/M. Thurmeier"
"134" 134 "Ice Age: The Meltdown" 2006 195.300003051758 456.299987792969 651.599975585938 80 "PG" "." "Ani" "Ani_Adv_Com_Fam" "C. Saldanha"
"135" 135 "Madagascar" 2005 193.100006103516 335.299987792969 528.400024414062 NA "PG" "." "Ani" "Ani_Adv_Com_Fam" "E.Darnell/T. McGrath"
"136" 136 "Toy Story" 1995 191.800003051758 167 358.799987792969 30 "G" "." "Ani" "Ani_Com_Fan" "J. Lasseter"
"137" 137 "Twilight" 2008 191.399993896484 188.5 379.899993896484 37 "PG-13" "." "Dra" "Dra_Fan_Rom_Thr" "C. Hardwicke"
"138" 138 "Cars 2" 2011 191.399993896484 368.5 559.900024414062 200 "G" "." "Ani" "Ani_Adv_Com_Fam" "J. Lasseter/B. Lewis"
"139" 139 "Men in Black II" 2002 190.399993896484 235.199996948242 425.600006103516 97 "PG-13" "." "Act" "Act_Com_Fan_SciF" "B. Sonnenfeld"
"140" 140 "Gladiator" 2000 187.699996948242 268.600006103516 456.299987792969 103 "R" "won" "Dra" "Dra_Act" "R. Scott"
"141" 141 "Sherlock Holmes: A Game of Shadows" 2011 186.800003051758 348 534.799987792969 NA "PG-13" "." "Act" "Act_Adv_Cri_Mys_Thr" "G. Ritchie"
"142" 142 "The Day After Tomorrow" 2004 186.699996948242 356.100006103516 542.799987792969 125 "PG-13" "." "Act" "Act_Dra_SciF_Thr" "R. Emmerich"
"143" 143 "Mr. and Mrs. Smith" 2005 186.300003051758 291.899993896484 478.200012207031 110 "PG-13" "." "Act" "Act_Adv_Com_Rom_Thr" "D.Liman"
"144" 144 "Snow White and the Seven Dwarfs" 1937 184.899993896484 0 184.899993896484 1 "G" "." "Ani" "Ani_Mus" "D. Hand"
"145" 145 "Dances With Wolves" 1990 184.199996948242 240 424.200012207031 NA "PG-13" "won" "Adv" "Adv_Dra_Wes" "K. Costner"
"146" 146 "Batman Forever" 1995 184 151 335 100 "PG-13" "." "Cri" "Cri_Fan_Act_Adv_Thr" "J. Schumacher"
"147" 147 "The Fugitive" 1993 183.899993896484 185 368.899993896484 44 "PG-13" "nominated" "Act" "Act_Adv_Thr_Cri_Mys" "A. Davis"
"148" 148 "Ocean's Eleven" 2001 183.399993896484 260.899993896484 444.299987792969 85 "PG-13" "." "Cri" "Cri" "S. Soderbergh"
"149" 149 "The Simpsons Movie" 2007 183.100006103516 343.700012207031 526.799987792969 75 "PG-13" "." "Ani" "Ani_Com_Fam" "D. Silverman"
"150" 150 "What Women Want" 2000 182.800003051758 189.5 372.299987792969 65 "PG-13" "." "Com" "Com_Fan_Rom" "N. Meyers"
"151" 151 "The Polar Express" 2004 182.800003051758 124.199996948242 307 150 "G" "." "Ani" "Ani_Fam_Fan_Adv" "M. Mann"
"152" 152 "The Perfect Storm" 2000 182.600006103516 143.199996948242 325.799987792969 120 "PG-13" "." "Adv" "Adv_Dra_Act_Thr" "W. Petersen"
"153" 153 "Grease" 1978 181.5 198.300003051758 379.799987792969 6 "PG" "." "Com" "Com_Mus_Rom" "R. Kleise"
"154" 154 "Liar Liar" 1997 181.399993896484 125 306.399993896484 45 "PG-13" "." "Com" "Com" "T. Shadyac"
"155" 155 "Jurassic Park III" 2001 181.199996948242 184.100006103516 365.299987792969 93 "PG-13" "." "Hor" "Hor_SciF_Adv_Thr_Act" "J. Johnston"
"156" 156 "Mission: Impossible" 1996 181 286 467 75 "PG-13" "." "Act" "Act_Adv_Thr" "B. de Palma"
"157" 157 "Thor" 2011 181 267.5 448.5 150 "PG-13" "." "Act" "Act_Adv_Dra_Fan" "K. Branagh"
"158" 158 "Planet of the Apes" 2001 180 178.899993896484 358.899993896484 100 "PG-13" "." "Act" "Act_Adv_SciF_Dra" "T. Burton"
"159" 159 "Madagascar: Escape 2 Africa" 2008 180 414.899993896484 594.900024414062 150 "PG" "." "Ani" "Ani_Act_Adv_Com_Fam" "E. Darnell/T. McGrath"
"160" 160 "Indiana Jones and the Temple of Doom" 1984 179.899993896484 153.199996948242 333.100006103516 NA "PG" "." "Fan" "Fan_Act_Adv" "S. Spielberg"
"161" 161 "X-Men Origins: Wolverine" 2009 179.800003051758 193.300003051758 373.100006103516 150 "PG-13" "." "Act" "Act_Fan_SciF_Thr" "G. Hood"
"162" 162 "Men In Black 3" 2012 179 445 624 225 "PG-13" "." "Act" "Act_Com_SciF" "B. Sonnenfeld"
"163" 163 "Pretty Woman" 1990 178.399993896484 285 463.399993896484 NA "R" "." "Com" "Com_Rom" "G. Marshall"
"164" 164 "Hitch" 2005 177.600006103516 190.5 368.100006103516 70 "PG-13" "." "Com" "Com_Rom" "A. Tennant"
"165" 165 "Tootsie" 1982 177.199996948242 0 177.199996948242 NA "PG" "nominated" "Com" "Com_Rom" "S. Pollack"
"166" 166 "Night at the Museum: Battle of the Smithsonian" 2009 177.199996948242 235.800003051758 413 150 "PG" "." "Act" "Act_Adv_Com_Fam_Fan" "S. Levy"
