"Region" "CountryName" "CountryCode" "BirthRate" "DeathRate" "InfantDeaths" "FertilityRate" "GNI" "LifeExpectancyFemales" "LifeExpectancyMales"
"89" "Sub-Saharan Africa" "Liberia" "LBR" 39.1080017089844 10.9709997177124 61.2000007629395 5.23799991607666 210 57.1730003356934 55.1710014343262
"90" "Europe & Central Asia" "Lithuania" "LTU" 10.8000001907349 12.8000001907349 5.09999990463257 1.54999995231628 11620 78.8000030517578 68
"91" "Europe & Central Asia" "Luxembourg" "LUX" 11.6000003814697 7.40000009536743 2.40000009536743 1.62999999523163 76820 82.6999969482422 77.5999984741211
"92" "East Asia & Pacific" "Macao SAR, China" "MAC" 9.65799999237061 4.38299989700317 NA 1.09200000762939 45460 83.2190017700195 78.447998046875
"93" "Europe & Central Asia" "Macedonia, FYR" "MKD" 10.7620000839233 9.28899955749512 9.19999980926514 1.42200005054474 4600 76.7249984741211 72.6129989624023
"94" "Sub-Saharan Africa" "Madagascar" "MDG" 35.2550010681152 6.48999977111816 44.2999992370605 4.65100002288818 430 68.1019973754883 64.9100036621094
"95" "Sub-Saharan Africa" "Malawi" "MWI" 44.298999786377 12.6569995880127 56.0999984741211 5.98999977111816 330 53.5200004577637 53.4080009460449
"96" "East Asia & Pacific" "Malaysia" "MYS" 20.2649993896484 4.65999984741211 5.80000019073486 2.63499999046326 7760 76.2900009155273 71.8669967651367
"97" "South Asia" "Maldives" "MDV" 16.7789993286133 3.57599997520447 10.6000003814697 1.75199997425079 6150 77.7099990844727 75.447998046875
"98" "Sub-Saharan Africa" "Mali" "MLI" 46.398998260498 14.5579996109009 99.5999984741211 6.29400014877319 600 52.0540008544922 49.9080009460449
"99" "Middle East & North Africa" "Malta" "MLT" 9.60000038146973 7.19999980926514 5.09999990463257 1.37999999523163 18620 83.0999984741211 78.9000015258789
"100" "Sub-Saharan Africa" "Mauritania" "MRT" 33.7610015869141 9.67000007629395 75.9000015258789 4.53299999237061 1000 59.9620018005371 56.5550003051758
"101" "Sub-Saharan Africa" "Mauritius" "MUS" 11.6999998092651 7.09999990463257 13 1.47000002861023 7780 76.6500015258789 69.4599990844727
"102" "Latin America & Caribbean" "Mexico" "MEX" 19.5470008850098 4.71700000762939 14.1000003814697 2.3199999332428 8930 79.1709976196289 74.3150024414062
"103" "East Asia & Pacific" "Micronesia, Fed. Sts." "FSM" 24.6730003356934 6.04400014877319 33.9000015258789 3.45099997520447 2730 69.6330032348633 67.9380035400391
"104" "Europe & Central Asia" "Moldova" "MDA" 12.3170003890991 13.3509998321533 14.3000001907349 1.47500002384186 1820 72.7379989624023 65.2519989013672
"105" "East Asia & Pacific" "Mongolia" "MNG" 23.488000869751 6.40799999237061 27.2999992370605 2.50399994850159 1870 72.2699966430664 64.3140029907227
"106" "Europe & Central Asia" "Montenegro" "MNE" 12.2829999923706 10.4630002975464 6.80000019073486 1.65600001811981 6740 76.8059997558594 71.9349975585938
"107" "Middle East & North Africa" "Morocco" "MAR" 19.5 5.80999994277954 29.3999996185303 2.27900004386902 2850 74.1900024414062 69.6500015258789
"108" "Sub-Saharan Africa" "Mozambique" "MOZ" 37.7019996643066 14.6219997406006 75.6999969482422 4.91200017929077 440 50.7290000915527 48.7140007019043
"109" "Sub-Saharan Africa" "Namibia" "NAM" 26.261999130249 8.24300003051758 31.7999992370605 3.21700000762939 4250 62.6539993286133 61.5139999389648
"110" "South Asia" "Nepal" "NPL" 24.1100006103516 5.8600001335144 40.5999984741211 2.72699999809265 490 69.2210006713867 67.6080017089844
"111" "Europe & Central Asia" "Netherlands" "NLD" 11.1000003814697 8.19999980926514 3.5 1.78999996185303 48920 82.6999969482422 78.8000030517578
"112" "East Asia & Pacific" "New Zealand" "NZL" 14.7600002288818 6.6399998664856 4.80000019073486 2.16000008583069 29350 82.6999969482422 78.8000030517578
"113" "Latin America & Caribbean" "Nicaragua" "NIC" 23.8490009307861 4.63299989700317 22.7000007629395 2.62199997901917 1100 76.890998840332 70.7180023193359
"114" "Sub-Saharan Africa" "Niger" "NER" 48.5289993286133 12.871000289917 68.5 7.06300020217896 360 54.7430000305176 53.8110008239746
"115" "Sub-Saharan Africa" "Nigeria" "NGA" 39.8870010375977 14.3330001831055 80.8000030517578 5.52500009536743 1170 52.2280006408691 50.6310005187988
"116" "Europe & Central Asia" "Norway" "NOR" 12.6000003814697 8.5 2.70000004768372 1.95000004768372 86390 83.1999969482422 78.9000015258789
"117" "Middle East & North Africa" "Oman" "OMN" 17.9360008239746 3.83299994468689 7.90000104904175 2.30900001525879 19260 75.5350036621094 70.8290023803711
